Workout Date;Set;Weight (kg);Rep;MV (m/s)
08/02/2022;5;190;2;0.35
08/02/2022;5;190;3;0.84
08/02/2022;5;190;3;0.33
08/02/2022;5;190;4;0.81
08/02/2022;5;190;4;0.3
08/02/2022;5;190;5;0.73
08/02/2022;5;190;5;0.29
08/02/2022;5;190;6;0.9
03/02/2022;1;150;1;0.54
03/02/2022;1;150;2;1.02
03/02/2022;2;150;1;0.58
03/02/2022;2;150;2;0.97
03/02/2022;3;170;1;0.44
03/02/2022;3;170;2;1.06
03/02/2022;4;170;1;0.42
03/02/2022;4;170;2;1.14
03/02/2022;5;200;1;0.24
03/02/2022;5;200;2;0.96
25/01/2022;1;150;1;0.56
25/01/2022;1;150;2;1.04
25/01/2022;2;170;1;0.46
25/01/2022;2;170;2;0.95
25/01/2022;3;200;1;0.32
25/01/2022;3;200;2;0.97
25/01/2022;4;180;1;0.38
25/01/2022;4;180;2;0.97
25/01/2022;4;180;2;0.42
25/01/2022;4;180;3;1.01
25/01/2022;4;180;3;0.4
25/01/2022;4;180;4;0.94
25/01/2022;4;180;4;0.37
25/01/2022;4;180;5;1.13
25/01/2022;4;180;5;0.34
25/01/2022;4;180;6;1.11
25/01/2022;5;180;1;0.34
25/01/2022;5;180;2;1.03
25/01/2022;5;180;2;0.4
25/01/2022;5;180;3;1.05
25/01/2022;5;180;3;0.37
25/01/2022;5;180;4;1.14
25/01/2022;5;180;4;0.31
25/01/2022;5;180;5;1.08
25/01/2022;5;180;5;0.31
25/01/2022;5;180;6;1.1
25/01/2022;6;180;1;0.36
25/01/2022;6;180;2;0.99
25/01/2022;6;180;2;0.43
25/01/2022;6;180;3;0.98
25/01/2022;6;180;3;0.4
25/01/2022;6;180;4;0.8
25/01/2022;6;180;4;0.36
25/01/2022;6;180;5;0.9
25/01/2022;6;180;5;0.33
25/01/2022;6;180;6;0.84
03/12/2021;1;150;1;0.63
03/12/2021;1;150;2;0.99
03/12/2021;1;150;2;0.64
03/12/2021;1;150;3;0.99
03/12/2021;2;170;1;0.53
03/12/2021;2;170;2;0.95
03/12/2021;3;200;1;0.39
03/12/2021;3;200;2;1.08
03/12/2021;4;240;1;0.29
03/12/2021;4;240;2;0.8
03/12/2021;5;250;1;0.25
03/12/2021;5;250;2;0.55
26/11/2021;1;170;1;0.54
26/11/2021;1;170;2;0.99
26/11/2021;2;200;1;0.42
26/11/2021;2;200;2;0.92
26/11/2021;3;230;1;0.3
26/11/2021;3;230;2;0.9
26/11/2021;4;180;1;0.45
26/11/2021;4;180;2;0.94
26/11/2021;4;180;2;0.51
26/11/2021;4;180;3;0.9
26/11/2021;4;180;3;0.48
26/11/2021;4;180;4;0.96
26/11/2021;4;180;4;0.46
26/11/2021;4;180;5;0.92
26/11/2021;4;180;5;0.45
26/11/2021;4;180;6;0.96
26/11/2021;4;180;6;0.41
26/11/2021;4;180;7;1.09
26/11/2021;4;180;7;0.42
26/11/2021;4;180;8;1.13
26/11/2021;4;180;8;0.42
26/11/2021;4;180;9;1
26/11/2021;4;180;9;0.42
26/11/2021;4;180;10;1
26/11/2021;4;180;10;0.41
26/11/2021;4;180;11;0.88
26/11/2021;4;180;11;0.37
26/11/2021;4;180;12;1.11
26/11/2021;4;180;12;0.35
26/11/2021;4;180;13;1
26/11/2021;4;180;13;0.32
26/11/2021;4;180;14;0.89
26/11/2021;4;180;14;0.3
26/11/2021;4;180;15;0.68
26/11/2021;4;180;15;0.28
26/11/2021;4;180;16;0.88
26/11/2021;4;180;16;0.24
26/11/2021;4;180;17;0.87
26/11/2021;5;180;1;0.46
26/11/2021;5;180;2;1.15
26/11/2021;5;180;2;0.54
26/11/2021;5;180;3;1.14
26/11/2021;5;180;3;0.5
26/11/2021;5;180;4;1.25
26/11/2021;5;180;4;0.5
26/11/2021;5;180;5;1.31
26/11/2021;5;180;5;0.51
26/11/2021;5;180;6;1.21
26/11/2021;5;180;6;0.42
26/11/2021;5;180;7;1.22
26/11/2021;5;180;7;0.43
26/11/2021;5;180;8;1.14
26/11/2021;5;180;8;0.43
26/11/2021;5;180;9;0.99
26/11/2021;5;180;9;0.35
26/11/2021;5;180;10;0.94
26/11/2021;5;180;10;0.38
26/11/2021;5;180;11;1.06
26/11/2021;5;180;11;0.35
26/11/2021;5;180;12;0.88
26/11/2021;5;180;12;0.27
26/11/2021;5;180;13;0.89
26/11/2021;5;180;13;0.29
26/11/2021;5;180;14;0.96
26/11/2021;5;180;14;0.22
26/11/2021;5;180;15;0.85
20/11/2021;1;240;1;0.26
20/11/2021;2;200;1;0.38
20/11/2021;2;200;2;0.42
20/11/2021;2;200;3;0.36
20/11/2021;2;200;4;0.4
20/11/2021;2;200;5;0.37
20/11/2021;2;200;6;0.32
20/11/2021;2;200;7;0.3
20/11/2021;2;200;8;0.31
20/11/2021;2;200;9;0.27
20/11/2021;2;200;10;0.25
25/08/2021;1;150;1;0.57
25/08/2021;1;150;2;0.91
25/08/2021;1;150;2;0.57
25/08/2021;1;150;3;1
25/08/2021;2;170;1;0.46
25/08/2021;2;170;2;1.04
25/08/2021;3;200;1;0.33
25/08/2021;3;200;2;0.8
25/08/2021;4;170;1;0.45
25/08/2021;4;170;2;0.98
25/08/2021;4;170;2;0.46
25/08/2021;4;170;3;0.92
25/08/2021;4;170;3;0.49
25/08/2021;4;170;4;0.94
25/08/2021;4;170;4;0.41
25/08/2021;4;170;5;0.92
25/08/2021;4;170;5;0.44
25/08/2021;4;170;6;0.93
28/07/2021;1;120;1;0.67
28/07/2021;1;120;2;0.92
28/07/2021;1;120;2;0.5
28/07/2021;2;150;1;0.57
28/07/2021;2;150;2;1.07
28/07/2021;3;150;1;0.56
28/07/2021;3;150;2;1.21
28/07/2021;3;150;2;0.56
28/07/2021;3;150;3;1.15
28/07/2021;4;170;1;0.44
28/07/2021;4;170;2;1.32
28/07/2021;5;200;1;0.28
28/07/2021;5;200;2;0.89
28/07/2021;6;200;1;0.34
28/07/2021;6;200;2;0.89
28/07/2021;7;200;1;0.29
28/07/2021;7;200;2;1.1
28/07/2021;8;120;1;0.51
28/07/2021;8;120;2;0.79
28/07/2021;8;120;2;0.49
28/07/2021;8;120;3;0.96
28/07/2021;8;120;3;0.54
28/07/2021;8;120;4;0.91
28/07/2021;8;120;4;0.56
28/07/2021;8;120;5;0.9
28/07/2021;8;120;5;0.56
28/07/2021;8;120;6;0.86
28/07/2021;8;120;6;0.58
28/07/2021;8;120;7;0.87
28/07/2021;8;120;7;0.58
28/07/2021;8;120;8;0.93
28/07/2021;8;120;8;0.56
28/07/2021;8;120;9;0.86
28/07/2021;8;120;9;0.54
28/07/2021;8;120;10;0.92
28/07/2021;8;120;10;0.57
28/07/2021;8;120;11;0.9
28/07/2021;8;120;11;0.52
28/07/2021;8;120;12;0.87
28/07/2021;8;120;12;0.51
28/07/2021;8;120;13;0.9
28/07/2021;8;120;13;0.48
28/07/2021;8;120;14;0.87
28/07/2021;8;120;14;0.52
28/07/2021;8;120;15;0.93
28/07/2021;8;120;15;0.49
28/07/2021;8;120;16;0.92
28/07/2021;8;120;16;0.47
28/07/2021;8;120;17;0.92
28/07/2021;8;120;17;0.45
28/07/2021;8;120;18;0.92
28/07/2021;8;120;18;0.37
28/07/2021;8;120;19;0.83
28/07/2021;8;120;19;0.39
28/07/2021;8;120;20;0.85
28/07/2021;8;120;20;0.41
28/07/2021;8;120;21;0.88
28/07/2021;8;120;21;0.42
28/07/2021;8;120;22;0.95
28/07/2021;8;120;22;0.42
28/07/2021;8;120;23;0.88
28/07/2021;8;120;23;0.4
28/07/2021;8;120;24;0.79
28/07/2021;8;120;24;0.38
28/07/2021;8;120;25;0.84
28/07/2021;8;120;25;0.38
28/07/2021;8;120;26;0.7
28/07/2021;8;120;26;0.37
28/07/2021;8;120;27;0.86
28/07/2021;8;120;27;0.4
28/07/2021;8;120;28;0.85
28/07/2021;8;120;28;0.43
28/07/2021;8;120;29;0.81
28/07/2021;8;120;29;0.41
28/07/2021;8;120;30;0.74
28/07/2021;8;120;30;0.45
28/07/2021;8;120;31;0.89
28/07/2021;8;120;31;0.4
28/07/2021;8;120;32;0.79
28/07/2021;8;120;32;0.38
28/07/2021;8;120;33;0.75
28/07/2021;8;120;33;0.32
28/07/2021;8;120;34;0.72
28/07/2021;8;120;34;0.4
28/07/2021;8;120;35;0.9
28/07/2021;8;120;35;0.43
28/07/2021;8;120;36;0.89
28/07/2021;8;120;36;0.41
28/07/2021;8;120;37;0.87
28/07/2021;8;120;37;0.4
28/07/2021;8;120;38;0.71
28/07/2021;8;120;38;0.37
28/07/2021;8;120;39;0.88
28/07/2021;8;120;39;0.35
28/07/2021;8;120;40;0.88
28/07/2021;8;120;40;0.35
28/07/2021;8;120;41;0.83
21/07/2021;1;120;1;0.66
21/07/2021;1;120;2;0.92
21/07/2021;1;120;2;0.71
21/07/2021;1;120;3;0.91
21/07/2021;1;120;3;0.7
21/07/2021;1;120;4;0.96
21/07/2021;2;150;1;0.58
21/07/2021;2;150;2;1.08
21/07/2021;2;150;2;0.57
21/07/2021;2;150;3;1.18
21/07/2021;3;150;1;0.59
21/07/2021;3;150;2;1.28
21/07/2021;3;150;2;0.59
21/07/2021;3;150;3;1.42
21/07/2021;4;170;1;0.45
21/07/2021;4;170;2;1.12
21/07/2021;5;170;1;0.45
21/07/2021;5;170;2;1.02
21/07/2021;6;120;1;0.53
21/07/2021;6;120;2;0.93
21/07/2021;6;120;2;0.61
21/07/2021;6;120;3;0.93
21/07/2021;6;120;3;0.62
21/07/2021;6;120;4;0.87
21/07/2021;6;120;4;0.65
21/07/2021;6;120;5;0.92
21/07/2021;6;120;5;0.67
21/07/2021;6;120;6;0.87
21/07/2021;6;120;6;0.66
21/07/2021;6;120;7;0.95
21/07/2021;6;120;7;0.66
21/07/2021;6;120;8;0.9
21/07/2021;6;120;8;0.66
21/07/2021;6;120;9;0.9
21/07/2021;6;120;9;0.63
21/07/2021;6;120;10;0.97
21/07/2021;6;120;10;0.63
21/07/2021;6;120;11;0.9
21/07/2021;6;120;11;0.6
21/07/2021;6;120;12;1.07
21/07/2021;6;120;12;0.54
21/07/2021;6;120;13;0.89
21/07/2021;6;120;13;0.58
21/07/2021;6;120;14;0.92
21/07/2021;6;120;14;0.56
21/07/2021;6;120;15;0.93
21/07/2021;6;120;15;0.54
21/07/2021;6;120;16;0.88
21/07/2021;6;120;16;0.53
21/07/2021;6;120;17;0.85
21/07/2021;6;120;17;0.45
21/07/2021;6;120;18;0.97
21/07/2021;6;120;18;0.49
21/07/2021;6;120;19;0.89
21/07/2021;6;120;19;0.41
21/07/2021;6;120;20;1.01
21/07/2021;6;120;20;0.41
21/07/2021;6;120;21;0.84
21/07/2021;7;120;1;0.6
21/07/2021;7;120;2;0.99
21/07/2021;7;120;2;0.63
21/07/2021;7;120;3;0.95
21/07/2021;7;120;3;0.65
21/07/2021;7;120;4;0.91
21/07/2021;7;120;4;0.66
21/07/2021;7;120;5;0.94
21/07/2021;7;120;5;0.67
21/07/2021;7;120;6;0.9
21/07/2021;7;120;6;0.66
21/07/2021;7;120;7;0.92
21/07/2021;7;120;7;0.69
21/07/2021;7;120;8;0.93
21/07/2021;7;120;8;0.65
21/07/2021;7;120;9;0.97
21/07/2021;7;120;9;0.62
21/07/2021;7;120;10;0.94
21/07/2021;7;120;10;0.6
21/07/2021;7;120;11;0.91
21/07/2021;7;120;11;0.56
21/07/2021;7;120;12;1
21/07/2021;7;120;12;0.56
21/07/2021;7;120;13;0.99
21/07/2021;7;120;13;0.53
21/07/2021;7;120;14;0.9
21/07/2021;7;120;14;0.47
21/07/2021;7;120;15;0.91
21/07/2021;7;120;15;0.48
21/07/2021;7;120;16;0.93
21/07/2021;7;120;16;0.47
21/07/2021;7;120;17;0.86
21/07/2021;7;120;17;0.45
21/07/2021;7;120;18;0.93
21/07/2021;7;120;18;0.44
21/07/2021;7;120;19;0.81
21/07/2021;7;120;19;0.43
21/07/2021;7;120;20;0.81
21/07/2021;7;120;20;0.41
21/07/2021;7;120;21;0.93
14/07/2021;1;120;1;0.71
14/07/2021;1;120;2;0.87
14/07/2021;1;120;2;0.76
14/07/2021;1;120;3;0.98
14/07/2021;2;150;1;0.57
14/07/2021;2;150;2;1.2
14/07/2021;2;150;2;0.65
14/07/2021;2;150;3;1.23
14/07/2021;3;170;1;0.48
14/07/2021;3;170;2;1.28
14/07/2021;3;170;2;0.53
14/07/2021;3;170;3;1.39
14/07/2021;4;210;1;0.28
14/07/2021;4;210;2;1.19
14/07/2021;5;210;1;0.31
14/07/2021;5;210;2;0.96
14/07/2021;6;150;1;0.52
14/07/2021;6;150;2;1.01
14/07/2021;6;150;2;0.53
14/07/2021;6;150;3;0.91
14/07/2021;6;150;3;0.61
14/07/2021;6;150;4;0.94
14/07/2021;6;150;4;0.53
14/07/2021;6;150;5;0.97
14/07/2021;6;150;5;0.58
14/07/2021;6;150;6;0.92
14/07/2021;6;150;6;0.54
14/07/2021;6;150;7;0.97
14/07/2021;6;150;7;0.48
14/07/2021;6;150;8;1.04
14/07/2021;6;150;8;0.48
14/07/2021;6;150;9;1.07
14/07/2021;6;150;9;0.47
14/07/2021;6;150;10;0.99
14/07/2021;6;150;10;0.45
14/07/2021;6;150;11;1.14
14/07/2021;6;150;11;0.39
14/07/2021;6;150;12;1.06
14/07/2021;6;150;12;0.41
14/07/2021;6;150;13;0.96
14/07/2021;6;150;13;0.35
14/07/2021;6;150;14;0.94
14/07/2021;6;150;14;0.38
14/07/2021;6;150;15;0.85
14/07/2021;6;150;15;0.33
14/07/2021;6;150;16;1.11
14/07/2021;6;150;16;0.35
14/07/2021;6;150;17;0.87
14/07/2021;6;150;17;0.35
14/07/2021;6;150;18;0.87
14/07/2021;6;150;18;0.33
14/07/2021;6;150;19;0.92
14/07/2021;7;150;1;0.46
14/07/2021;7;150;2;0.95
14/07/2021;7;150;2;0.49
14/07/2021;7;150;3;1.04
14/07/2021;7;150;3;0.52
14/07/2021;7;150;4;1.02
14/07/2021;7;150;4;0.54
14/07/2021;7;150;5;1.01
14/07/2021;7;150;5;0.46
14/07/2021;7;150;6;1.09
14/07/2021;7;150;6;0.49
14/07/2021;7;150;7;1.07
14/07/2021;7;150;7;0.41
14/07/2021;7;150;8;1.16
14/07/2021;7;150;8;0.43
14/07/2021;7;150;9;0.98
14/07/2021;7;150;9;0.43
14/07/2021;7;150;10;0.95
14/07/2021;7;150;10;0.39
14/07/2021;7;150;11;1.15
14/07/2021;7;150;11;0.36
14/07/2021;7;150;12;1.03
14/07/2021;7;150;12;0.34
14/07/2021;7;150;13;0.91
14/07/2021;7;150;13;0.35
14/07/2021;7;150;14;0.88
14/07/2021;7;150;14;0.33
14/07/2021;7;150;15;0.89
14/07/2021;7;150;15;0.32
14/07/2021;7;150;16;0.95
14/07/2021;7;150;16;0.26
14/07/2021;7;150;17;0.88
09/07/2021;1;150;1;0.6
09/07/2021;1;150;2;1.09
09/07/2021;2;170;1;0.5
09/07/2021;2;170;2;1.16
09/07/2021;2;170;2;0.51
09/07/2021;2;170;3;1.26
09/07/2021;3;200;1;0.35
09/07/2021;3;200;2;1.14
09/07/2021;4;220;1;0.27
09/07/2021;4;220;2;0.9
09/07/2021;5;150;1;0.5
09/07/2021;5;150;2;1.07
09/07/2021;5;150;2;0.56
09/07/2021;5;150;3;1.05
09/07/2021;5;150;3;0.54
09/07/2021;5;150;4;0.96
09/07/2021;5;150;4;0.52
09/07/2021;5;150;5;1
09/07/2021;5;150;5;0.49
09/07/2021;5;150;6;0.98
09/07/2021;5;150;6;0.47
09/07/2021;5;150;7;1.08
09/07/2021;5;150;7;0.49
